Name,Categorical
โรคเรื้อรังและกลุ่มอาการที่พบบ่อยสำหรับผู้ดูแลผู้สูงอายุ ,สุขภาพและการแพทย์
เกษตรกรยุคใหม่ต้องรู้ ,เกษตรและสิ่งแวดล้อม
เทคโนโลยีระบบรางและการจัดการการขนส่ง ,วิศวกรรมและสถาปัตยกรรม
สื่อสมัยใหม่เพื่อการเรียนรู้ ,การศึกษาและการฝึกอบรม
ฉลาดด้วยข้อมูล ใครๆ ก็ทำได้ (คลังข้อมูลและการทำเหมืองข้อมูล) ,คอมพิวเตอร์และเทคโนโลยี
เทคโนโลยีพลังงานหมุนเวียน ,วิศวกรรมและสถาปัตยกรรม
กิจกรรมเคลื่อนไหวเชิงสร้างสรรค์สําหรับเด็กปฐมวัย,การศึกษาและการฝึกอบรม
การนอนหลับกับสุขภาพดี ,สุขภาพและการแพทย์
การรายงานอุบัติเหตุและเหตุการณ์บนเรือ (การเขียนรายงาน) ,ภาษาและการสื่อสาร
การบริการผู้โดยสารบนเครื่องบิน ,ธุรกิจและการบริหารจัดการ
คลังข้อมูล ,คอมพิวเตอร์และเทคโนโลยี
ช่องปากและฟันตรวจเองได้ง่ายนิดเดียว ฉบับทันตแพทย์สอน ,สุขภาพและการแพทย์
การวิเคราะห์ความมั่นคงปลอดภัยเครือข่ายองค์กร ประเมินและจัดการช่องโหว่ ,คอมพิวเตอร์และเทคโนโลยี
ภาษาเกาหลี ระดับกลาง 3 ,ภาษาและการสื่อสาร
การผลิตสื่ออีเลิร์นนิงเพื่อการศึกษา ,การศึกษาและการฝึกอบรม
ภาษาเกาหลีเบื้องต้น 2 세계로 통하는 한국어 : 초급 Ⅱ ,ภาษาและการสื่อสาร
การสอนแบบ Active Learning ในห้องเรียน ที่สนุกและใช้งานได้ทันที ,การศึกษาและการฝึกอบรม
การจัดการภาวะฉุกเฉินในผู้สูงอายุ ,สุขภาพและการแพทย์
ภาษาไทยเพื่อการพัฒนาปัญญา ,ภาษาและการสื่อสาร
เทคนิคการจัดการความเครียด ,สุขภาพและการแพทย์
การออกแบบการนำเสนองานอย่างสร้างสรรค์และทันสมัย ,คอมพิวเตอร์และเทคโนโลยี
เทคนิคการออกแบบและก่อสร้างอาคารที่เป็นมิตรต่อสิ่งแวดล้อม ,วิศวกรรมและสถาปัตยกรรม
ภูมิคุ้มกันวิทยา ,สุขภาพและการแพทย์
ชุมชนคนเกษตร 4.0 ,เกษตรและสิ่งแวดล้อม
การจัดการสาธารณภัย...ใครๆ ก็ต้องรู้ ,ธุรกิจและการบริหารจัดการ
ง่าย สบาย กับการอธิบายกราฟเป็นภาษาอังกฤษ ,ภาษาและการสื่อสาร
การจัดการการท่องเที่ยวและการบริการในยุค 4.0 ,ธุรกิจและการบริหารจัดการ
เทคโนโลยีสารสนเทศเพื่อชีวิต ,คอมพิวเตอร์และเทคโนโลยี
ไมโครซอฟท์ เพาเวอร์ แอป (เครื่องมือสร้างบิซิเนสแอป โดยไม่ต้องเขียนโค้ด) ,คอมพิวเตอร์และเทคโนโลยี
การออกแบบการเรียนการสอนผ่านเว็บ ,การศึกษาและการฝึกอบรม
ทักษิณศึกษา ,ศิลปวัฒนธรรมและศาสนา
การออกแบบพื้นที่จัดเก็บสินค้าสำหรับธุรกิจขนาดกลางและธุรกิจค้าปลีกในยุค 4.0 ,ธุรกิจและการบริหารจัดการ
คอมพิวเตอร์กราฟิก ,คอมพิวเตอร์และเทคโนโลยี
คณิตพิชิต O-NET (ระดับม.ต้น),การศึกษาและการฝึกอบรม
การออกแบบสิ่งแวดล้อมเพื่อเราทุกคน ,วิศวกรรมและสถาปัตยกรรม
วิทยาการข้อมูลเบื้องต้น ,คอมพิวเตอร์และเทคโนโลยี
มนุษย์กับสิ่งแวดล้อม,เกษตรและสิ่งแวดล้อม
พฤติกรรมการดูแลตนเองเพื่อป้องกันโรคเบาหวาน ,สุขภาพและการแพทย์
ชุมชนเทคโนโลยี ,คอมพิวเตอร์และเทคโนโลยี
เรียน “ญี่ปุ่นปัจจุบัน” ผ่านระบบ e-learning  ,ภาษาและการสื่อสาร
การบริหารผลงานเพื่อองค์กรประสิทธิภาพสูง ,ทักษะชีวิตและการพัฒนาตนเอง
Data + AI for Communication: การฝึกปฏิบัติการการใช้เครื่องมือ Data + AI พื้นฐานสำหรับการสื่อสารการตลาด ,ธุรกิจและการบริหารจัดการ
การออกแบบสื่อเพื่อการโฆษณา ,ธุรกิจและการบริหารจัดการ
เทคโนโลยีสารสนเทศสำหรับการจัดการจดหมายเหตุและสารสนเทศมรดกทางวัฒนธรรม,คอมพิวเตอร์และเทคโนโลยี
Data + AI for Communication: การใช้ Data + AI เพื่อเสริมพลังการสื่อสารการตลาด ,ธุรกิจและการบริหารจัดการ
การรู้เท่าทันสื่อ ,ภาษาและการสื่อสาร
กฎหมายอาญาภาคความผิด (มาตรา 309 – 398) ,สังคม การเมืองการปกครอง
การจัดการเรียนการสอนออนไลน์ ,การศึกษาและการฝึกอบรม
การสรรหาและคัดเลือกบุคลากร ,ธุรกิจและการบริหารจัดการ
อาหารอาเซียน ,ศิลปวัฒนธรรมและศาสนา
การหลอมรวมเทคโนโลยีสมัยใหม่ ,คอมพิวเตอร์และเทคโนโลยี
การดูแลสุขภาวะผู้สูงอายุในศตวรรษที่ 21 ,สุขภาพและการแพทย์
การรู้สารสนเทศ ,คอมพิวเตอร์และเทคโนโลยี
เทคโนโลยีและนวัตกรรมการศึกษา,การศึกษาและการฝึกอบรม
พลิกโฉมโลกด้วยดิจิทัล ,คอมพิวเตอร์และเทคโนโลยี
เทคนิคการนำเสนองานวิชาการ ,ทักษะชีวิตและการพัฒนาตนเอง
ระบบการสอนอัจฉริยะ ,การศึกษาและการฝึกอบรม
อาชีวอนามัยและความปลอดภัย ,สุขภาพและการแพทย์
ภูมิปัญญาไทย กับการพัฒนาการเกษตรอย่างยั่งยืน ,สุขภาพและการแพทย์
ภูมิปัญญาอีสานจากใบลาน ,ภาษาและการสื่อสาร
ความรู้เกี่ยวกับการบังคับคดีให้หน่วยงานของรัฐ ,สังคม การเมืองการปกครอง
พื้นที่จุดประกาย ,สังคม การเมืองการปกครอง
งานสื่อสารสาธารณะเพื่อหาทางออกของสังคม ,ทักษะชีวิตและการพัฒนาตนเอง
สถาปัตยกรรมกับการพัฒนาที่ยั่งยืน ภาคบทบาทของประชาชน ,วิศวกรรมและสถาปัตยกรรม
การจัดการธุรกิจการค้าสมัยใหม่ในยุค Thailand 4.0 ,ธุรกิจและการบริหารจัดการ
เครื่องมือ Cloud-Based ศตวรรษ 21 เพื่อชีวิตประจำวัน ,คอมพิวเตอร์และเทคโนโลยี
การผลิตสื่อโฆษณาที่ปลอดภัยและสร้างสรรค์ : การสื่อสารโฆษณา ,ธุรกิจและการบริหารจัดการ
วิทย์เพื่อชีวิต ,ทักษะชีวิตและการพัฒนาตนเอง
เทคนิคการบริหารสินค้าสำหรับร้านค้าออนไลน์ ,ธุรกิจและการบริหารจัดการ
จิตวิทยาข้ามวัฒนธรรมในที่ทำงาน ,ธุรกิจและการบริหารจัดการ
เกษตรอัจฉริยะในคอนโดฯ ,เกษตรและสิ่งแวดล้อม
เทคโนโลยีการเงิน ,ธุรกิจและการบริหารจัดการ
กฎหมายอาญา ภาคทั่วไป ,สังคม การเมืองการปกครอง
โปรแกรม Python สำหรับการคำนวณทางวิทยาศาสตร์ ,การศึกษาและการฝึกอบรม
การศึกษาที่เน้นผลลัพธ์การเรียนรู้ ,การศึกษาและการฝึกอบรม
ศาสตร์และศิลป์ในการสร้างความสุข ,ทักษะชีวิตและการพัฒนาตนเอง
อักษรไทยน้อยเบื้องต้น ,ภาษาและการสื่อสาร
กระบวนการการผลิตเห็ดและพืชผักตามแนวทางเกษตรปลอดภัย (Mushroom and vegetable production via Good Agricultural Practice (GAP)),เกษตรและสิ่งแวดล้อม
กล้วยไม้วิทยา ,เกษตรและสิ่งแวดล้อม
ทักษะงานช่างพื้นฐาน ,วิศวกรรมและสถาปัตยกรรม
การเข้าใจดิจิทัล ,คอมพิวเตอร์และเทคโนโลยี
กระบวนการคิดเชิงออกแบบกับการพัฒนาทักษะการเรียนรู้ในศตวรรษที่ 21 ,การศึกษาและการฝึกอบรม
ไมโครซอฟท์ เวิร์ด (โปรแกรมประมวลผลคำเพื่องานเอกสาร) ,คอมพิวเตอร์และเทคโนโลยี
การออกแบบและพัฒนาสื่อดิจิทัลและนวัตกรรมเพื่อการเรียนรู้ ,การศึกษาและการฝึกอบรม
ความคิดสร้างสรรค์สำหรับการออกแบบสื่อเสียง ,การศึกษาและการฝึกอบรม
Coding for All - ฉลาดคิด พิชิตยุคดิจิทัล ,คอมพิวเตอร์และเทคโนโลยี
การคิดสร้างสรรค์และนวัตกรรม ,ทักษะชีวิตและการพัฒนาตนเอง
การพูด การแสดงทางวิทยุกระจายเสียงอย่างมืออาชีพ ,ทักษะชีวิตและการพัฒนาตนเอง
การตัดสินใจโดยการขับเคลื่อนด้วยข้อมูล ,คอมพิวเตอร์และเทคโนโลยี
เตรียมเกษียณเพื่อเสริมสร้างพฤฒพลัง ,ธุรกิจและการบริหารจัดการ
การออกแบบและพัฒนาเว็บไซต์เพื่อรองรับการแสดงผลบนอุปกรณ์เคลื่อนที่ ,คอมพิวเตอร์และเทคโนโลยี
การให้ความรู้ผู้ป่วยโรคไตเรื้อรังเบื้องต้น ,สุขภาพและการแพทย์
เตรียมสหกิจศึกษา ,การศึกษาและการฝึกอบรม
ภาษาเกาหลี ระดับกลาง 2 ,ภาษาและการสื่อสาร
หลักการดีๆ ที่นักOD…ควรมีตามมาตรฐานคุณวุฒิวิชาชีพ ,ธุรกิจและการบริหารจัดการ
การออกแบบสื่ออินเตอร์แอคทีฟเพื่อการศึกษา ,การศึกษาและการฝึกอบรม
สื่อสารด้วยภาษากัมพูชาง่ายนิดเดียว ,ภาษาและการสื่อสาร
การเขียนโปรแกรมคอมพิวเตอร์เบื้องต้นสำหรับระบบสารสนเทศ ,คอมพิวเตอร์และเทคโนโลยี
วิทยาการข้อมูลและการประยุกต์ใช้ ,คอมพิวเตอร์และเทคโนโลยี
การจัดการคลังสินค้า ,ธุรกิจและการบริหารจัดการ
นาฏมวยไทย ,ศิลปวัฒนธรรมและศาสนา
การเป็นผู้นำการเปลี่ยนแปลงที่มีประสิทธิภาพ ,คอมพิวเตอร์และเทคโนโลยี
กระบวนการเลี้ยงปลาและการแปรรูปเพิ่มมูลค่าผลผลิตจากปลาและสาหร่าย ,เกษตรและสิ่งแวดล้อม
การเป็นข้าราชการ ,สังคม การเมืองการปกครอง
วิทยาลัยชุมชนกับการเป็นพลเมือง ,สังคม การเมืองการปกครอง
สำรวจแนวคิดหลักของจิตวิทยา,ทักษะชีวิตและการพัฒนาตนเอง
ทักษะพื้นฐานการซ่อมบำรุงรักษาวัสดุอุปกรณ์ในสำนักงาน ,ธุรกิจและการบริหารจัดการ
การต่อต้านการทุจริตในประเทศไทย ,สังคม การเมืองการปกครอง
ภาษาอังกฤษเตรียมพร้อม ,ภาษาและการสื่อสาร
การพัฒนาสภาพแวดล้อมในสังคมแห่งการเรียนรู้ยุคใหม่ ,การศึกษาและการฝึกอบรม
เทคโนโลยีเกษตร สำหรับคนเกษตร ,เกษตรและสิ่งแวดล้อม
เทคโนโลยีฮาร์ดแวร์และซอฟต์แวร์ระบบ ,คอมพิวเตอร์และเทคโนโลยี
ไอทีเพื่อการศึกษา ,การศึกษาและการฝึกอบรม
การดูแลผู้ที่ได้รับเคมีบำบัด ,สุขภาพและการแพทย์
การจัดสภาพแวดล้อมที่ดี ถูกสุขอนามัย ปลอดภัย และน่าอยู่ สำหรับผู้ดูแลผู้สูงอายุ ,สุขภาพและการแพทย์
ระบบราชการไทย ,สังคม การเมืองการปกครอง
จากแนวคิดวิจัยสู่การปฏิบัติ ,การศึกษาและการฝึกอบรม
ศิลปะศิลปากร ,ศิลปวัฒนธรรมและศาสนา
ปรัชญาอาชีวศึกษาและความเป็นครู ,การศึกษาและการฝึกอบรม
หลักการบัญชี ,ธุรกิจและการบริหารจัดการ
ระบบสารสนเทศทางบัญชี ,คอมพิวเตอร์และเทคโนโลยี
การขับเคลื่อนการเปลี่ยนผ่านสู่รัฐบาลดิจิทัล ,คอมพิวเตอร์และเทคโนโลยี
การบริการอาหารและเครื่องดื่ม ,ธุรกิจและการบริหารจัดการ
เครื่องมือพื้นฐานในการศึกษาชุมชน ,สุขภาพและการแพทย์
เส้นสายใยรัก ผ้าทอหันทราย ,ศิลปวัฒนธรรมและศาสนา
โอกาสทางธุรกิจในเอเชียตะวันออก｜Business Opportunities in East Asia｜擁抱東亞新商機/拥抱东亚新商机,ธุรกิจและการบริหารจัดการ
บาติก 1 ,ศิลปวัฒนธรรมและศาสนา
การรายงานอุบัติเหตุและเหตุการณ์บนเรือ (การโต้ตอบบทสนทนา) ,ภาษาและการสื่อสาร
การผลิตหนังสั้น ,คอมพิวเตอร์และเทคโนโลยี
ภาษาญี่ปุ่นเพื่ออาชีพผู้ดูแลผู้สูงอายุ ,ภาษาและการสื่อสาร
การพัฒนาบุคลิกภาพเพื่อเพิ่มประสิทธิภาพการทำงานของ บุคลากรภาครัฐ,การศึกษาและการฝึกอบรม
ปัญหาพิเศษ ,การศึกษาและการฝึกอบรม
พูดภาษาจีน 300 ประโยค ,ภาษาและการสื่อสาร
การพยาบาลมารดาทารกและผดุงครรภ์ ,สุขภาพและการแพทย์
นวัตกรรมและเทคโนโลยีสารสนเทศเพื่อการสื่อสารการศึกษาและการเรียนรู้ ,การศึกษาและการฝึกอบรม
จิตวิทยาพัฒนาการวัยสูงอายุ ,สุขภาพและการแพทย์
การออกแบบสื่อเสียงเพื่อการศึกษา ,การศึกษาและการฝึกอบรม
การดูแลผู้ป่วยโรคเบาหวาน ,สุขภาพและการแพทย์
ภาวะผู้นำการเปลี่ยนแปลงในศตวรรษที่ 21 ,สังคม การเมืองการปกครอง
การออกแบบโมเดลและงานพิมพ์ 3D เพื่อการบริการชุมชน ,วิศวกรรมและสถาปัตยกรรม
Cloud Technology Tools เพื่อการเรียนรู้ในศตวรรษที่ 21 ,คอมพิวเตอร์และเทคโนโลยี
กลยุทธ์การสร้างชุมชนการเรียนรู้ด้วย PLC ,การศึกษาและการฝึกอบรม
นวัตกรรมการสร้างสรรค์บ้านยั่งยืน ,วิศวกรรมและสถาปัตยกรรม
ภาษาเกาหลี ระดับกลาง 3 ,ภาษาและการสื่อสาร
ศิลปกรรมท้องถิ่นชายแดนใต้ ,ศิลปวัฒนธรรมและศาสนา
คณิตศาสตร์วิศวกรรม II ,คณิตศาสตร์และวิทยาศาสตร์
การจัดการเชิงกลยุทธ์และการตลาดในยุคโลกาภิวัตน์ ,ธุรกิจและการบริหารจัดการ
อาหารตะวันตกเบื้องต้น ,ศิลปวัฒนธรรมและศาสนา
อาหารล้านนา ,ศิลปวัฒนธรรมและศาสนา
พลเมืองดิจิทัล ,สังคม การเมืองการปกครอง
ลาบแป้ ,ศิลปวัฒนธรรมและศาสนา
เทคโนโลยีดิจิทัลและนวัตกรรม ,คอมพิวเตอร์และเทคโนโลยี
ศาสตร์และศิลป์ของการเขียนโปรแกรมคอมพิวเตอร์ ,คอมพิวเตอร์และเทคโนโลยี
การขึ้นโมเดลสามมิติด้วยเทคโนโลยีแบบจำลองสารสนเทศอาคาร ,คอมพิวเตอร์และเทคโนโลยี
การออกแบบและผลิตแผ่นพับด้วยโปรแกรม Inkscape ,คอมพิวเตอร์และเทคโนโลยี
ศิลปะการเล่าเรื่องข้ามสื่อ ,ภาษาและการสื่อสาร
ภาษา Python สำหรับวิทยาการข้อมูล ,คอมพิวเตอร์และเทคโนโลยี
Open Mind! สื่อใหม่แบบข้ามขอบเขตและการประชาสัมพันธ์อย่างสร้างสรรค์,ธุรกิจและการบริหารจัดการ
คณิตศาสตร์เพื่อคอมพิวเตอร์ ,คณิตศาสตร์และวิทยาศาสตร์
อารยธรรมและภูมิปัญญาท้องถิ่น ,ศิลปวัฒนธรรมและศาสนา
การเตรียมสอบประกาศนียบัตร MOS : MS PowerPoint 2013 ,คอมพิวเตอร์และเทคโนโลยี
การใช้เทคโนโลยีเพื่อการพัฒนางานวิจัย ,การศึกษาและการฝึกอบรม
วินัยและจรรยาข้าราชการ ,ทักษะชีวิตและการพัฒนาตนเอง
เทคโนโลยีสารสนเทศในยุคดิจิทัล ,คอมพิวเตอร์และเทคโนโลยี
วิจัยทางธุรกิจ ,ธุรกิจและการบริหารจัดการ
การสร้างสรรค์เนื้อหาด้วยข้อมูล (Data) เพื่อเพิ่มคุณค่าขององค์กร ,ธุรกิจและการบริหารจัดการ
ระบบการเรียนรู้และการสื่อสารผ่านระบบเครือข่าย ,การศึกษาและการฝึกอบรม
การดูแลผู้สูงอายุ...เพื่อป้องกันภาวะความเสี่ยงจากโรคสมองเสื่อม ,สุขภาพและการแพทย์
การบริหารความก้าวหน้าในสายอาชีพ ,ธุรกิจและการบริหารจัดการ
การสอบถามข้อมูลเรือและข้อมูลการเข้าเมือง ,ภาษาและการสื่อสาร
การสร้างอินโฟกราฟิกเบื้องต้น (Basic Infographic),คอมพิวเตอร์และเทคโนโลยี
เครือข่ายและความปลอดภัย ,คอมพิวเตอร์และเทคโนโลยี
ไพธอนเพื่อการวิเคราะห์ข้อมูลและการนำเสนอข้อมูล (ตอนที่ 2) ,คอมพิวเตอร์และเทคโนโลยี
การจัดทำแผนพัฒนารายบุคคล ,ทักษะชีวิตและการพัฒนาตนเอง
การใช้จุลินทรีย์เพื่อการเกษตร ,เกษตรและสิ่งแวดล้อม
กลยุทธ์การตลาดเชิงเนื้อหาในสื่อสังคมเพื่อการจัดการแบรนด์ออนไลน์ ,ธุรกิจและการบริหารจัดการ
เส้นสายใยรัก ผ้าทอหันทราย ,ศิลปวัฒนธรรมและศาสนา
การพยาบาลผู้สูงอายุ ,สุขภาพและการแพทย์
Technology Enhanced Learning for Digital Era (English Caption),คอมพิวเตอร์และเทคโนโลยี
การถ่ายภาพรังสีภายในช่องปากทางทันตกรรม ,สุขภาพและการแพทย์
การเขียนโปรแกรม R สำหรับวิทยาการข้อมูล ,คอมพิวเตอร์และเทคโนโลยี
ภาวะผู้นำกับความรับผิดชอบต่อหน้าที่ ,คอมพิวเตอร์และเทคโนโลยี
การบริหารกิจการบ้านเมืองที่ดี ,สังคม การเมืองการปกครอง
จิตวิทยาวัฒนธรรม ,ศิลปวัฒนธรรมและศาสนา
การออกแบบเพื่อคนทั้งมวล ,ทักษะชีวิตและการพัฒนาตนเอง
การผลิตเชื้อเพลิงแข็งและถ่านกัมมันต์จากวัสดุเหลือทิ้งทางการเกษตร ,คณิตศาสตร์และวิทยาศาสตร์
Cultural Management for Tourism (English Caption),ศิลปวัฒนธรรมและศาสนา
การออกแบบภาพอนิเมชั่นด้วยโปรแกรม Blender 3D ,คอมพิวเตอร์และเทคโนโลยี
ความรู้เบื้องต้นเกี่ยวกับการลงทุนอย่างเป็นระบบ ,ธุรกิจและการบริหารจัดการ
ความรู้เกี่ยวกับกระบวนการยุติธรรมทางอาญาในการดำเนินคดีความผิดเกี่ยวกับการค้ามนุษย์ ,สังคม การเมืองการปกครอง
พืชพรรณสำหรับการออกแบบสวนและสภาพแวดล้อม ,เกษตรและสิ่งแวดล้อม
การปฏิบัติงานบนเรือ ,ภาษาและการสื่อสาร
การจัดการท่องเที่ยวเพื่อความสนใจพิเศษ ,ธุรกิจและการบริหารจัดการ
ธรรมชาติ สุขภาพ และพฤติกรรมมนุษย์ ,เกษตรและสิ่งแวดล้อม
ปฏิบัติการคิดเชิงออกแบบนวัตกรรม ,ธุรกิจและการบริหารจัดการ
หลักสูตรการบริหารจัดการข้อมูลออนไลน์ด้วย Google Drive ,คอมพิวเตอร์และเทคโนโลยี
การวิเคราะห์ข้อมูลเบื้องต้นด้วยเวก้า ,คอมพิวเตอร์และเทคโนโลยี
การผลิตวีดิทัศน์สำหรับรายวิชา Thai MOOC ,การศึกษาและการฝึกอบรม
เทคโนโลยีคอมพิวเตอร์และการจัดการสารสนเทศเพื่อสังคมและเศรษฐกิจ ,คอมพิวเตอร์และเทคโนโลยี
เทคนิคการวิเคราะห์เบื้องต้น (ตอนที่ 1) ,คณิตศาสตร์และวิทยาศาสตร์
หลักพุทธธรรม ,ศิลปวัฒนธรรมและศาสนา
การวิจัยด้านเทคโนโลยีสารสนเทศทางธุรกิจ ,คอมพิวเตอร์และเทคโนโลยี
การจัดการตลาดชุมชนสมัยใหม่ ,ธุรกิจและการบริหารจัดการ
ทักษะการสื่อสารกับผู้ป่วยสำหรับเภสัชกร ,สุขภาพและการแพทย์
ภาษาเกาหลี 1-2 ,ภาษาและการสื่อสาร
데이터 과학과 그 응용 ,คอมพิวเตอร์และเทคโนโลยี
ความหลากหลายในสถานที่ทำงาน ,ทักษะชีวิตและการพัฒนาตนเอง
ภาษาเกาหลี 1-1 ,ภาษาและการสื่อสาร
พิษวิทยาอาชีวอนามัยพื้นฐาน ,สุขภาพและการแพทย์
การออกเสียงภาษาอังกฤษและสัทศาสตร์ภาษาอังกฤษเบื้องต้นสำหรับครูสอนภาษาอังกฤษ ,ภาษาและการสื่อสาร
การจัดเตรียมเนื้อหาสำหรับสื่อสังคมออนไลน์ และเว็บไซต์ ,ธุรกิจและการบริหารจัดการ
พื้นฐานการนำเสนอข้อมูลด้วยภาพ ,คณิตศาสตร์และวิทยาศาสตร์
การสร้างพันธมิตรและการส่งเสริมการทำงานแบบประชารัฐ ,ธุรกิจและการบริหารจัดการ
การจัดการสื่อสังคมออนไลน์ และการตลาดเชิงเนื้อหาบนพื้นฐานของข้อมูล ,ธุรกิจและการบริหารจัดการ
การดูแลผู้สูงอายุ 2 ,สุขภาพและการแพทย์
การเป็นพลเมือง ,สังคม การเมืองการปกครอง
โยคะเพื่อสุขภาพ ,สุขภาพและการแพทย์
แอนิเมชัน 3 มิติ ขั้นเริ่มต้น-ขั้นกลาง ,คอมพิวเตอร์และเทคโนโลยี
การพัฒนาวิชาและจัดการเรียนการสอนออนไลน์บนระบบ OPEN EDX,การศึกษาและการฝึกอบรม
การจัดการสื่อสารในภาวะวิกฤต (Crisis Communication),สังคม การเมืองการปกครอง
การขึ้นทะเบียนยาสามัญในต่างประเทศ ,สุขภาพและการแพทย์
ระบบสนับสนุนการตัดสินใจสำหรับองค์กรธุรกิจ ,ทักษะชีวิตและการพัฒนาตนเอง
การสร้างวินัยในตนเอง...สำหรับเด็กปฐมวัย ,การศึกษาและการฝึกอบรม
การออกแบบกราฟิกโดยใช้คอมพิวเตอร์ ,คอมพิวเตอร์และเทคโนโลยี
การเสริมสร้างศักยภาพสำหรับผู้ให้การดูแลระยะยาวแก่ผู้ป่วยภาวะสมองเสื่อม ,สุขภาพและการแพทย์
การออกแบบสร้างสรรค์แฟชั่นเบื้องต้น ,ศิลปวัฒนธรรมและศาสนา
ภาษาและความรู้วัฒนธรรมสำหรับครู ,ภาษาและการสื่อสาร
การออกแบบมาสคอตและการพิมพ์สามมิติ ,คอมพิวเตอร์และเทคโนโลยี
การออกแบบสื่อสามมิติด้วยโปรแกรม Blender 3D ,คอมพิวเตอร์และเทคโนโลยี
การฟัง-พูดภาษาเกาหลี 1-2 (Korean Listening - Speaking 1-2),ภาษาและการสื่อสาร
อาหารนานาชาติ ,ศิลปวัฒนธรรมและศาสนา
จริยธรรมการวิจัยในมนุษย์เบื้องต้น ,ทักษะชีวิตและการพัฒนาตนเอง
คนสร้างอาชีพ ,ทักษะชีวิตและการพัฒนาตนเอง
การประยุกต์ใช้โปรแกรมออนไลน์ในการจัดการเรียนการสอนด้วยแนวคิดเกมมิฟิเคชัน ,ธุรกิจและการบริหารจัดการ
ธุรกิจบริการสปาและการประยุกต์งานแพทย์แผนไทย ,ธุรกิจและการบริหารจัดการ
ความรู้เบื้องต้นเกี่ยวกับระบบเอดูเทนเมนต์ ปาร์ก ,การศึกษาและการฝึกอบรม
ภาษาอังกฤษเพื่อการพยาบาลพื้นฐาน ,ภาษาและการสื่อสาร
การถ่ายภาพทางอากาศยานโดยอากาศยานไร้คนขับ (โดรน) ,คอมพิวเตอร์และเทคโนโลยี
